vento_medio,std_vento,zavorra,delay_secondi,angolo_rampa,APOGEO_MISURATO,ANGOLO_ACCENSIONE_C6
4.27,0.45,0,4.46,-16.52.00,302,"56,05"
2.07,0.25,0,4.07,-3.59.00,318,"65,24"
1.34,0.09,0,2.22,-3.38.00,321,"86,04"
5.2,1.35,0,3.27,-11.39.00,314,"65,12"
2.13,0.51,0,2.3,-5.19.00,321,"82,12"
0.03,0.0,0,2.05,-0.09.00,319,"89,98"
5.55,1.15,0,4.02,-18.37.00,319,"75,44"
4.9,0.36,0,3.12,-14.27.00,326,"85,2"
3.2,0.39,0,2.19,-13.26.00,316,"79,01"
2.38,1.08,0,2.0,-9.13.00,316,"85,68"
3.11,0.07,0,1.9,-11.08.00,315,"86,5"
3.02,1.16,0,3.4,-11.6,326,"81,25"
0.52,0.1,0,2.7,-1.07.00,328,87
1.15,0.18,0,2.47,-2.08.00,324,"82,46"
5.14,1.31,0,3.35,-15.55.00,326,"86,13"
5.44,1.52,0,4.15,-19.28.00,307,"62,42"
1.48,0.14,0,4.24,-6.56.00,324,"74,17"
4.56,0.1,0,3.22,-11.49.00,323,"74,93"
5.9,0.28,0,2.44,-24.35.00,298,"63,93"
3.44,0.9,0,1.57,-13.0,306,"83,82"
4.6,1.07,0,2.07,-20.1,302,"69,01"
4.2,0.06,0,4.11,-13.44.00,327,"88,84"
1.9,0.45,0,1.52,-5.09.00,309,"86,44"
1.07,0.0,0,1.7,-2.32.00,313,"86,03"
6.24,0.38,0,2.52,-24.53.00,301,"65,96"
1.33,0.17,0,2.32,-5.56.00,322,"85,64"
0.39,0.11,0,3.28,-1.31.00,331,"89,9"
4.11,0.59,0,4.23,-16.7,307,"58,24"
2.0,0.11,0,3.11,-8.16.00,328,"81,67"
0.15,0.04,0,4.4,-0.56.00,329,"89,03"
2.45,0.41,0,4.34,-8.07.00,328,"87,24"
2.16,0.07,0,2.15,-9.33.00,318,"81,71"
3.39,1.01,0,3.48,-6.07.00,315,"59,86"
6.09,0.05,0,2.26,-19.18.00,316,"86,24"
5.28,1.53,0,2.4,-19.11.00,314,"83,3"
0.3,0.06,0,3.45,-1.14.00,332,"89,3"
4.18,1.28,0,2.19,-11.19.00,316,"82,17"
3.23,0.39,0,2.59,-7.22.00,321,"76,25"
4.06,0.43,0,3.56,-17.17.00,313,"65,26"
1.05,0.18,0,3.17,-4.11.00,331,"86,57"
5.03,1.35,0,4.32,-11.57.00,302,"55,7"
5.09,0.43,0,4.25,-13.34.00,316,"68,52"
2.24,0.3,0,3.37,-9.36.00,326,"78,85"
3.01,0.45,0,3.06,-9.0,329,"86,81"
3.31,0.26,0,4.04,-7.45.00,317,"65,39"
1.21,0.13,0,4.04,-4.34.00,331,"86,94"
4.35,1.38,0,4.37,-13.15.00,324,"89,44"
3.51,1.14,0,4.17,-8.28.00,316,"67,42"
1.19,0.08,0,3.11,-2.9,330,"84,84"
4.25,0.25,0,3.32,-12.05.00,327,"81,81"
3.46,0.1,20,4.16,-8.12.00,286,"58,33"
 vento 2.39.00,dev std 0.14.00,20,3.3 delay,angolo -09:24,307,"81,06"
5.06,0.55,20,4.39,-19.38.00,267,"45,53"
5.21,0.07,20,2.21,-14.16.00,296,"79,91"
4.13,1.21,20,1.53,-15.53.00,283,"75,35"
6.34,0.18,20,3.55,-16.32.00,295,"69,54"
4.38,1.06,20,4.13,-9.29.00,282,"57,12"
0.23,0.05,20,3.15,-0.6,309,"89,01"
1.47,0.06,20,2.35,-5.19.00,303,"88,48"
2.23,0.37,20,2.5,-5.42.00,303,"84,37"
0.46,0.1,20,2.35,-1.48.00,304,"89,3"
1.27,0.16,20,4.44,-3.31.00,303,"84,26"
5.11,0.05,20,1.8,-20.28.00,285,"75,41"
2.43,0.25,20,4.33,-8.38.00,303,"83,54"
3.08,0.38,20,2.12,-6.19.00,295,"75,76"
0.36,0.06,20,4.06,-1.21.00,308,"89,26"
2.22,0.18,20,2.02,-9.59.00,296,"81,19"
5.43,0.1,20,3.05,-21.23.00,291,"66,43"
2.13,1.02,20,3.48,-8.5,300,"69,36"
4.04,1.07,20,4.19,-11.03.00,300,"82,73"
4.08,0.31,20,4.25,-12.27.00,301,"81,87"
1.34,0.08,20,2.02,-4.25.00,299,"88,91"
3.0,1.04,20,4.31,-6.15.00,286,"63,04"
5.25,1.39,20,3.11,-23.57.00,255,"42,31"
1.13,0.11,20,3.35,-2.14.00,308,"80,64"
5.4,1.27,20,2.11,-15.17.00,296,"88,22"
3.03,1.29,20,3.27,-13.37.00,287,"57,33"
1.03,0.04,20,4.02,-1.55.00,301,"72,76"
2.32,0.52,20,4.22,-5.24.00,296,"70,98"
6.27,1.6,20,2.03,-16.38.00,293,"86,74"
4.55,1.33,20,4.09,-11.37.00,297,"75,47"
6.07,1.38,20,4.01,-18.6,293,"72,8"
4.13,0.19,20,3.2,-12.22.00,306,"84,25"
2.8,0.53,20,3.03,-10.08.00,305,"79,87"
5.59,1.24,20,2.57,-17.44.00,298,"82,38"
5.05,1.03,20,2.9,-20.32.00,283,"59,54"
5.36,1.42,20,2.09,-12.5,294,"79,17"
2.57,0.43,20,2.29,-8.29.00,302,"87,84"
2.14,0.4,20,3.45,-4.45.00,305,"76,64"
1.12,0.19,20,2.8,-4.13.00,307,"87,87"
4.23,1.08,20,2.42,-10.26.00,300,"87,16"
3.56,1.28,20,3.37,-14.35.00,290,"59,61"
3.25,0.15,20,4.27,-7.32.00,282,"54,55"
1.04,0.0,20,2.19,-4.19.00,302,"88,02"
0.11,0.01,20,3.28,-0.38.00,310,"89,78"
2.04,0.17,20,2.6,-6.08.00,306,"80,02"
4.36,0.46,20,4.16,-15.4,295,"71,07"
3.22,0.21,20,2.32,-13.46.00,297,"76,59"
1.32,0.16,20,3.1,-6.27.00,306,"78,17"
0.52,0.15,20,2.24,-2.15.00,302,"87,54"
5.41,0.58,40,2.08,-22.56.00,265,71.08.00
5.07,0.53,40,3.19,-9.39.00,241,38.22.00
3.52,0.52,40,4.44,-12.09.00,272,79.49.00
2.31,0.52,40,4.27,-7.28.00,276,"86,5"
6.37,1.12,40,2.19,-20.42.00,271,"79,78"
2.55,0.39,40,4.28,-10.28.00,269,"67,95"
0.21,0.06,40,3.11,-1.15.00,287,"86,25"
1.17,0.11,40,3.37,-2.55.00,285,"80,95"
3.19,1.17,40,4.08,-9.31.00,279,"85,83"
0.38,0.03,40,2.45,-2.05.00,284,"87,05"
3.21,1.21,40,3.48,-12.37.00,278,"74,03"
2.1,0.39,40,3.22,-5.5,278,"69,26"
5.15,1.26,40,4.18,-17.25.00,242,"47,37"
2.15,0.23,40,2.4,-6.7,282,"84,75"
1.43,0.28,40,2.34,-3.46.00,279,"77,69"
1.54,0.04,40,2.26,-5.28.00,282,"89,01"
4.12,1.03,40,3.06,-14.55.00,281,"81,26"
0.54,0.01,40,3.45,-2.28.00,286,"87,33"
3.27,0.58,40,2.32,-13.05.00,279,"88,09"
2.29,0.19,40,2.51,-4.31.00,276,"70,98"
0.8,0.02,40,3.21,-2.6,287,"88,25"
1.23,0.07,40,3.09,-3.7,286,"85,57"
1.37,0.21,40,4.38,-3.59.00,261,"59,87"
3.15,1.12,40,4.23,-7.37.00,264,61.43.00
2.45,1.03,40,4.15,-9.29.00,277,"83,73"
5.57,1.11,40,4.01,-15.09.00,278,"88,81"
4.29,0.53,40,2.16,-10.27.00,268,69.38.00
0.6,0.05,40,3.1,-1.33.00,286,"85,14"
4.34,1.25,40,3.32,-16.15.00,259,"57,66"
4.52,0.19,40,4.06,-11.07.00,250,"45,22"
4.2,1.37,40,3.26,-14.53.00,279,"84,16"
3.39,0.47,40,2.6,-10.13.00,281,81.29.00
0.34,0.05,40,2.31,-1.06.00,283,"89,64"
0.06,0.0,40,2.26,-0.27.00,282,"89,69"
4.24,0.25,40,2.09,-9.35.00,267,"67,77"
5.33,1.31,40,4.12,-20.36.00,238,"36,56"
5.19,1.05,40,3.14,-16.11.00,282,"80,08"
2.9,0.02,40,4.35,-6.09.00,246,"41,37"
6.06,1.34,40,2.13,-16.02.00,276,"82,23"
5.35,0.36,40,4.39,-13.54.00,243,"42,23"
3.03,1.03,40,2.05,-14.04.00,267,"69,46"
2.04,0.09,40,4.42,-7.22.00,279,"86,53"
2.07,0.2,40,3.36,-6.16.00,287,"85,83"
1.34,0.0,40,4.23,-4.07.00,281,"81,66"
5.18,0.27,40,1.59,-21.24.00,262,"73,05"
6.19,2.13,40,3.57,-18.29.00,273,"67,76"
5.23,1.19,40,2.55,-14.12.00,280,"86,24"
2.27,0.17,40,2.39,-5.45.00,282,"80,83"
4.23,1.06,40,3.36,-16.7,286,"57,62"
4.36,1.26,40,1.51,-10.18.00,269,"82,86"
4.36,1.14,60,3.5,-16.32.00,248,67.9
3.28,0.52,60,2.06,-7.25.00,255,74.8
0.13,0.03,60,2.56,-0.37.00,267,89.6
3.17,0.6,60,4.31,-14.07.00,223,43.8
3.07,0.45,60,4.22,-6.39.00,223,32.7
2.11,0.52,60,4.46,-9.41.00,227,52.1
4.04,0.11,60,2.12,-11.39.00,258,77.4
1.42,0.1,60,4.13,-3.18.00,246,63.5
2.36,0.35,60,2.27,-5.32.00,260,78.2
0.45,0.1,60,2.21,-2.03.00,265,87.2
3.09,0.18,60,4.34,-6.56.00,222,28.3
4.21,0.47,60,3.6,-12.31.00,255,72.5
4.27,1.14,60,2.32,-11.44.00,259,84
2.29,0.46,60,4.38,-7.11.00,249,73.7
1.26,0.23,60,2.17,-2.35.00,262,82.1
1.6,0.06,60,3.23,-3.47.00,262,72.9
5.53,0.53,60,3.02,-12.23.00,238,51.5
5.11,0.41,60,3.19,-16.2,260,80.5
6.37,0.35,60,3.4,-15.4,232,47.2
3.29,1.29,60,3.11,-14.38.00,246,64.7
4.58,1.31,60,2.02,-19.28.00,241,62.8
5.3,0.34,60,2.05,-22.08.00,246,68.8
3.59,0.47,60,4.29,-12.46.00,255,89
2.5,0.2,60,3.24,-5.8,257,67
5.16,1.45,60,3.29,-21.41.00,223,51.7
0.33,0.05,60,3.39,-1.32.00,267,89
4.38,1.13,60,4.15,-10.39.00,223,37
4.14,0.16,60,1.8,-17.1,254,78.7
1.08,0.28,60,4.08,-4.03.00,261,85.7
4.32,1.01,60,3.33,-16.25.00,252,75.7
1.11,0.16,60,3.43,-3.12.00,266,83.1
2.22,0.48,60,1.54,-6.39.00,256,87.1
5.07,0.53,60,3.07,-14.29.00,256,71.8
4.54,1.14,60,3.23,-19.48.00,232,56.7
1.18,0.09,60,3.04,-2.14.00,264,76.3
0.55,0.13,60,4.04,-2.08.00,262,86.5
1.22,0.16,60,2.11,-4.04.00,264,89.6
6.06,1.25,60,4.19,-20.38.00,248,"86,17"
2.23,0.48,60,2.47,-7.29.00,265,"84,51"
5.26,1.44,60,1.9,-14.53.00,252,"75,66"
1.05,0.0,60,4.25,-3.53.00,259,"85,29"
6.27,0.1,60,4.27,-23.35.00,222,"49,69"
1.51,0.18,60,3.06,-5.23.00,267,"88,72"
3.43,0.07,60,4.36,-10.24.00,233,"55,13"
0.02,0.0,60,2.34,-0.04.00,266,"89,91"
5.01,0.23,60,2.37,-22.14.00,246,"65,12"
3.18,0.03,60,2.02,-11.21.00,261,"89,06"
2.57,0.24,60,2.43,-6.35.00,261,"74,65"
2.11,0.09,60,3.16,-6.14.00,265,"79,65"
5.49,1.31,60,3.57,-17.03.00,254,"67,47"